tenure_categories,Countby_tenure,division
11 - 20 ปี,5,ฝ่ายส่งเสริมการลงทุนอุตสาหกรรมท่องเที่ยว
11 - 20 ปี,9,ฝ่ายสินค้าการท่องเที่ยว
11 - 20 ปี,7,ภูมิภาคเอเชียตะวันออก
11 - 20 ปี,11,ภูมิภาคภาคเหนือ
11 - 20 ปี,13,ภูมิภาคภาคใต้
11 - 20 ปี,13,ภูมิภาคภาคกลาง
11 - 20 ปี,10,ภูมิภาคภาคตะวันออก
11 - 20 ปี,11,ภูมิภาคภาคตะวันออกเฉียงเหนือ
11 - 20 ปี,10,ภูมิภาคยุโรป
11 - 20 ปี,3,ภูมิภาคอเมริกา ตะวันออกกลาง และแอฟริกา
11 - 20 ปี,5,ภูมิภาคอาเซียน เอเชียใต้ และแปซิฟิกใต้
11 - 20 ปี,9,สำนักผู้ว่าการ
21 - 30 ปี,11,กลุ่มอำนวยการ
21 - 30 ปี,9,ฝ่ายโฆษณาและประชาสัมพันธ์
21 - 30 ปี,7,ฝ่ายการเงิน
21 - 30 ปี,5,ฝ่ายกิจกรรม
21 - 30 ปี,7,ฝ่ายดิจิทัลและเทคโนโลยีสารสนเทศ
21 - 30 ปี,5,ฝ่ายตรวจสอบภายใน
21 - 30 ปี,3,ฝ่ายติดตามและบริหารความเสี่ยง
21 - 30 ปี,4,ฝ่ายทรัพยากรบุคคล
21 - 30 ปี,11,ฝ่ายบริการการตลาด
21 - 30 ปี,15,ฝ่ายบริหารทั่วไป
21 - 30 ปี,9,ฝ่ายบัญชีและงบประมาณ
21 - 30 ปี,3,ฝ่ายวางแผน
21 - 30 ปี,4,ฝ่ายวิจัยและพัฒนาด้านการท่องเที่ยว
21 - 30 ปี,3,ฝ่ายส่งเสริมการลงทุนอุตสาหกรรมท่องเที่ยว
21 - 30 ปี,6,ฝ่ายสินค้าการท่องเที่ยว
21 - 30 ปี,16,ภูมิภาคเอเชียตะวันออก
21 - 30 ปี,15,ภูมิภาคภาคเหนือ
21 - 30 ปี,17,ภูมิภาคภาคใต้
21 - 30 ปี,19,ภูมิภาคภาคกลาง
21 - 30 ปี,12,ภูมิภาคภาคตะวันออก
21 - 30 ปี,16,ภูมิภาคภาคตะวันออกเฉียงเหนือ
21 - 30 ปี,9,ภูมิภาคยุโรป
21 - 30 ปี,6,ภูมิภาคอเมริกา ตะวันออกกลาง และแอฟริกา
21 - 30 ปี,11,ภูมิภาคอาเซียน เอเชียใต้ และแปซิฟิกใต้
21 - 30 ปี,4,สำนักผู้ว่าการ
31 ปีขึ้นไป,4,ฝ่ายโฆษณาและประชาสัมพันธ์
31 ปีขึ้นไป,10,ฝ่ายการเงิน
31 ปีขึ้นไป,4,ฝ่ายกิจกรรม
31 ปีขึ้นไป,2,ฝ่ายดิจิทัลและเทคโนโลยีสารสนเทศ
31 ปีขึ้นไป,1,ฝ่ายตรวจสอบภายใน
31 ปีขึ้นไป,3,ฝ่ายติดตามและบริหารความเสี่ยง
31 ปีขึ้นไป,3,ฝ่ายทรัพยากรบุคคล
31 ปีขึ้นไป,6,ฝ่ายบริการการตลาด
31 ปีขึ้นไป,4,ฝ่ายบริหารทั่วไป
31 ปีขึ้นไป,3,ฝ่ายบัญชีและงบประมาณ
31 ปีขึ้นไป,2,ฝ่ายวางแผน
31 ปีขึ้นไป,4,ฝ่ายวิจัยและพัฒนาด้านการท่องเที่ยว
